epoch,learning_rate,loss,masked_accuracy,val_loss,val_masked_accuracy
0,9.999999747378752e-05,3.115783214569092,0.425292432308197,2.7181808948516846,0.46437692642211914
1,9.999999747378752e-05,2.637470006942749,0.4688127934932709,2.5955653190612793,0.47636678814888
2,9.999999747378752e-05,2.5150070190429688,0.4813641607761383,2.5399796962738037,0.4824894964694977
3,9.999999747378752e-05,2.4357516765594482,0.48974111676216125,2.5189247131347656,0.48543450236320496
4,9.999999747378752e-05,2.3755452632904053,0.49662357568740845,2.507746696472168,0.48710811138153076
5,9.999999747378752e-05,2.3267323970794678,0.502397358417511,2.497004270553589,0.48869121074676514
6,9.999999747378752e-05,2.2857985496520996,0.5070950984954834,2.4987528324127197,0.489754855632782
7,9.999999747378752e-05,2.249246835708618,0.511874258518219,2.497675895690918,0.489702433347702
8,9.999999747378752e-05,2.216444969177246,0.5162122845649719,2.5092074871063232,0.48986777663230896
9,4.999999873689376e-05,2.1224172115325928,0.5293547511100769,2.487729072570801,0.4936094284057617
10,4.999999873689376e-05,2.089083433151245,0.5340589284896851,2.4974076747894287,0.4923692047595978
11,4.999999873689376e-05,2.0657379627227783,0.537531316280365,2.510664224624634,0.4922926425933838
12,4.999999873689376e-05,2.043998956680298,0.5407142043113708,2.5217831134796143,0.49128174781799316
13,2.499999936844688e-05,1.9870799779891968,0.5494097471237183,2.5192477703094482,0.4930861294269562
14,2.499999936844688e-05,1.96775484085083,0.5524991154670715,2.529050588607788,0.4916909337043762
